,Month,Model,Region,Type,Value
0,1,CanSIPS-IC3,AO,R,0.952830301090532
1,1,CanSIPS-IC3,AO,RMSE,0.7480381727218628
2,1,CanSIPS-IC3,PDO,R,0.9910503481783199
3,1,CanSIPS-IC3,PDO,RMSE,1.7072396278381348
4,1,CanSIPS-IC3,WP,R,0.9385155844375275
5,1,CanSIPS-IC3,WP,RMSE,0.7531915903091431
6,1,CanSIPS-IC3,Nino,R,0.900932868431702
7,1,CanSIPS-IC3,Nino,RMSE,0.7764437198638916
8,1,CanSIPS-IC3,SIO,R,0.9900345117730791
9,1,CanSIPS-IC3,SIO,RMSE,0.8904093503952026
10,1,CanSIPS-IC3,SPO,R,0.9885643637023557
11,1,CanSIPS-IC3,SPO,RMSE,0.850549042224884
12,1,CanSIPS-IC3,SAO,R,0.9901292718631941
13,1,CanSIPS-IC3,SAO,RMSE,1.0109680891036987
14,2,CanSIPS-IC3,AO,R,0.9443107699944979
15,2,CanSIPS-IC3,AO,RMSE,0.8162156343460083
16,2,CanSIPS-IC3,PDO,R,0.988929663423834
17,2,CanSIPS-IC3,PDO,RMSE,1.8243519067764282
18,2,CanSIPS-IC3,WP,R,0.9228685853791064
19,2,CanSIPS-IC3,WP,RMSE,0.8753371834754944
20,2,CanSIPS-IC3,Nino,R,0.8930836179361452
21,2,CanSIPS-IC3,Nino,RMSE,1.047940969467163
22,2,CanSIPS-IC3,SIO,R,0.9885203386089448
23,2,CanSIPS-IC3,SIO,RMSE,0.9460409283638
24,2,CanSIPS-IC3,SPO,R,0.9854678800692434
25,2,CanSIPS-IC3,SPO,RMSE,0.9082925319671631
26,2,CanSIPS-IC3,SAO,R,0.9887590831895666
27,2,CanSIPS-IC3,SAO,RMSE,1.0772120952606201
28,3,CanSIPS-IC3,AO,R,0.9384725288905997
29,3,CanSIPS-IC3,AO,RMSE,0.8569303750991821
30,3,CanSIPS-IC3,PDO,R,0.9870241978339781
31,3,CanSIPS-IC3,PDO,RMSE,1.953906536102295
32,3,CanSIPS-IC3,WP,R,0.9109399103386382
33,3,CanSIPS-IC3,WP,RMSE,0.9657595157623291
34,3,CanSIPS-IC3,Nino,R,0.8929618896568219
35,3,CanSIPS-IC3,Nino,RMSE,1.1830387115478516
36,3,CanSIPS-IC3,SIO,R,0.9871469309955497
37,3,CanSIPS-IC3,SIO,RMSE,1.0054824352264404
38,3,CanSIPS-IC3,SPO,R,0.9830898796083518
39,3,CanSIPS-IC3,SPO,RMSE,0.9667527675628662
40,3,CanSIPS-IC3,SAO,R,0.9872851055254711
41,3,CanSIPS-IC3,SAO,RMSE,1.1434906721115112
